City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
224,Kaitangata,-46.2817,169.8464,9.39,few clouds,82,21,1.76,NZ,1678046161
225,Ripon,54.1352,-1.5212,5.13,broken clouds,78,75,2.06,GB,1678046001
226,Visnes,59.3556,5.2242,1.01,light snow,74,40,3.6,NO,1678046162
227,Sucre,-19.0333,-65.2627,20.92,scattered clouds,46,36,5.08,BO,1678046162
228,Fortuna,40.5982,-124.1573,7.77,broken clouds,76,75,1.54,US,1678046163
229,Bukachacha,52.9833,116.9167,-16.83,few clouds,92,16,1.07,RU,1678046163
230,Bell Ville,-32.6259,-62.6887,37.59,clear sky,17,0,7.07,AR,1678046163
231,Minggang,32.4586,114.0486,13.12,clear sky,44,0,2.97,CN,1678046163
232,Guangyuan,32.442,105.823,15.85,overcast clouds,56,100,1.23,CN,1678046163
233,Misratah,32.3754,15.0925,14.68,clear sky,59,1,6.28,LY,1678045966
234,Bereda,43.2686,-7.5406,7.3,overcast clouds,90,99,0.58,ES,1678046163
235,Grand Gaube,-20.0064,57.6608,24.22,heavy intensity rain,89,100,1.34,MU,1678046163
236,Laguna,38.421,-121.4238,12.28,broken clouds,61,75,5.66,US,1678046164
237,Tezu,27.9167,96.1667,20.34,scattered clouds,40,37,1.82,IN,1678046164
238,San Patricio,28.017,-97.5169,28.98,clear sky,43,0,5.78,US,1678046164
239,Nago,26.5881,127.9761,15.14,clear sky,57,3,3.41,JP,1678046164
240,Kuito,-12.3833,16.9333,16.28,broken clouds,93,73,1.87,AO,1678046164
241,Huambo,-12.7761,15.7392,16.95,overcast clouds,90,100,1.53,AO,1678046165
242,Port Lincoln,-34.7333,135.8667,15.35,clear sky,81,3,4.32,AU,1678046165
243,Tibati,6.4667,12.6333,27.4,broken clouds,30,74,1.16,CM,1678046165
244,Ahipara,-35.1667,173.1667,18.28,broken clouds,67,73,4.84,NZ,1678046165
245,Halifax,44.6453,-63.5724,3.71,scattered clouds,43,38,10.29,CA,1678046163
246,Ambilobe,-13.2,49.05,23.8,light rain,96,91,0.75,MG,1678046165
247,Nieuw Amsterdam,5.8833,-55.0833,29.09,scattered clouds,71,40,5.61,SR,1678046165
248,Lakatoro,-16.0999,167.4164,26.83,overcast clouds,80,95,2.16,VU,1678046165
249,Bossier City,32.516,-93.7321,26.14,clear sky,37,0,3.62,US,1678046166
250,Rio Grande,-32.035,-52.0986,29.06,scattered clouds,66,36,6.32,BR,1678046140
251,Ciudad Bolivar,8.1222,-63.5497,37.09,broken clouds,27,73,5.41,VE,1678046166
252,Taperoa,-7.2075,-36.8267,32.48,overcast clouds,29,91,6.62,BR,1678046166
253,Oistins,13.0667,-59.5333,28.05,few clouds,65,20,8.75,BB,1678046166
254,Kirkland Lake,48.1446,-80.0377,3.16,overcast clouds,52,98,2.57,CA,1678046166
255,Durango,24.8333,-104.8333,25.02,clear sky,4,0,1.37,MX,1678046093
256,High Level,58.5169,-117.136,-19.94,few clouds,65,20,0.0,CA,1678046166
257,Neftegorsk,52.802,51.166,-4.52,clear sky,84,7,7.81,RU,1678046167
258,Chissamba,-12.1667,17.3333,18.42,overcast clouds,91,100,1.65,AO,1678046167
259,Dhidhdhoo,6.8833,73.1,27.65,broken clouds,78,67,6.95,MV,1678045919
260,Svetlogorsk,52.6333,29.7333,-2.03,broken clouds,61,53,4.32,BY,1678046167
261,Mount Isa,-20.7333,139.5,23.87,light rain,94,40,3.09,AU,1678045919
262,Christchurch,-43.5333,172.6333,11.85,few clouds,96,20,0.45,NZ,1678046167
263,Buala,-8.145,159.5921,25.59,light rain,88,100,3.22,SB,1678046167
264,Lavrentiya,65.5833,-171.0,-1.21,snow,97,100,8.45,RU,1678046168
265,Clarence Town,-32.5833,151.7833,22.19,broken clouds,77,67,2.06,AU,1678046168
266,Uruguaiana,-29.7547,-57.0883,33.96,scattered clouds,43,40,3.6,BR,1678045876
267,Aswan,24.0934,32.907,30.61,clear sky,19,0,2.57,EG,1678046169
268,Felanitx,39.4696,3.1483,12.29,overcast clouds,81,99,3.66,ES,1678046169
269,Acapulco,16.8634,-99.8901,28.98,broken clouds,61,74,4.18,MX,1678046169
270,Sioux Lookout,50.1001,-91.917,3.04,scattered clouds,44,40,3.09,CA,1678046169
271,Mananum,8.8333,124.95,13.64,scattered clouds,86,35,1.06,PH,1678046169
